Date,Price,Open,High,Low,Vol.,Change %
"Sep 23, 2019",174.25,173.61,174.64,173.31,683.11K,0.26%
"Sep 20, 2019",173.8,173.3,173.84,173.23,475.45K,0.34%
"Sep 19, 2019",173.21,173.09,173.4,172.86,531.38K,0.42%
"Sep 18, 2019",172.49,171.28,171.28,171.28,0.01K,-0.20%
"Sep 17, 2019",172.83,173,173.16,172.67,581.50K,-0.02%
"Sep 16, 2019",172.87,172.54,173.12,172.4,600.07K,0.37%
"Sep 13, 2019",172.24,173.51,173.63,172.18,949.71K,-0.70%
"Sep 12, 2019",173.45,174.02,175.61,173.23,1.24M,-0.40%
"Sep 11, 2019",174.15,173.75,174.37,173.65,619.52K,0.22%
"Sep 10, 2019",173.76,174.33,174.51,173.75,711.97K,-0.37%
"Sep 09, 2019",174.41,175.22,175.3,174.19,645.23K,-0.50%
"Sep 06, 2019",175.29,174.53,175.34,174.24,682.23K,0.42%
"Sep 05, 2019",174.56,175.74,175.76,174.18,1.09M,-0.76%
"Sep 04, 2019",175.89,176.17,176.17,175.17,957.56K,-0.07%
"Sep 03, 2019",176.01,176.1,176.84,175.98,1.19M,-0.10%
"Sep 02, 2019",176.19,176.37,176.38,175.78,415.99K,-0.07%
"Aug 30, 2019",176.31,178.93,179.27,176.31,253.06K,-1.49%
"Aug 29, 2019",178.98,179.23,179.36,178.6,734.95K,-0.08%
"Aug 28, 2019",179.12,179.03,179.45,178.89,709.33K,0.03%
"Aug 27, 2019",179.07,178.5,179.07,178.45,518.17K,0.36%
"Aug 26, 2019",178.43,179.13,179.16,178.24,448.01K,-0.21%
"Aug 23, 2019",178.81,178.06,178.83,177.49,648.61K,0.40%
"Aug 22, 2019",178.09,178.64,178.94,177.66,886.66K,-0.30%
"Aug 21, 2019",178.62,178.8,178.82,178.19,545.22K,-0.18%
"Aug 20, 2019",178.95,178.19,179.19,178.19,638.04K,0.43%
"Aug 19, 2019",178.18,178.7,178.84,177.82,738.53K,-0.45%
"Aug 16, 2019",178.99,179.41,179.58,178.17,739.02K,-0.37%
"Aug 15, 2019",179.66,178.43,179.66,178.19,885.06K,0.67%
"Aug 14, 2019",178.46,177.71,178.49,177.62,638.59K,0.44%
"Aug 13, 2019",177.68,177.52,177.84,177.32,579.11K,0.06%
"Aug 12, 2019",177.58,177.14,177.67,177.03,340.32K,0.31%
"Aug 09, 2019",177.04,177.5,177.55,176.96,535.28K,-0.20%
"Aug 08, 2019",177.39,177.04,177.41,176.4,851.12K,0.20%
"Aug 07, 2019",177.04,176.75,177.74,176.72,801.06K,0.21%
"Aug 06, 2019",176.67,176.61,176.73,176.12,538.52K,0.17%
"Aug 05, 2019",176.37,175.96,176.62,175.93,588.13K,0.26%
"Aug 02, 2019",175.91,175.71,176.1,175.62,864.96K,0.04%
"Aug 01, 2019",175.84,175.02,175.88,174.73,728.99K,0.41%
"Jul 31, 2019",175.13,174.57,175.28,174.52,594.05K,0.32%
"Jul 30, 2019",174.57,174.43,174.64,174.37,402.73K,0.07%
"Jul 29, 2019",174.44,174.34,174.57,174.27,390.38K,0.09%
"Jul 26, 2019",174.29,174.23,174.3,173.93,407.41K,0.04%
"Jul 25, 2019",174.22,174.26,174.92,173.51,985.68K,0.02%
"Jul 24, 2019",174.19,173.79,174.51,173.74,600.27K,0.22%
"Jul 23, 2019",173.81,173.61,173.97,173.56,397.22K,0.07%
"Jul 22, 2019",173.68,173.39,173.79,173.29,408.71K,0.14%
"Jul 19, 2019",173.43,173.45,173.57,173.27,436.42K,-0.10%
"Jul 18, 2019",173.6,173.1,173.63,173.02,629.37K,0.30%
"Jul 17, 2019",173.08,172.47,173.13,172.44,528.06K,0.37%
"Jul 16, 2019",172.45,172.34,172.68,172.18,580.06K,0.05%
"Jul 15, 2019",172.37,171.74,172.41,171.49,502.40K,0.38%
"Jul 12, 2019",171.72,171.51,171.87,171.25,766.69K,0.12%
"Jul 11, 2019",171.51,172.56,172.73,171.51,812.40K,-0.57%
"Jul 10, 2019",172.5,173.04,173.08,172.04,1.09M,-0.38%
"Jul 09, 2019",173.16,173.34,173.45,173.04,565.77K,-0.08%
"Jul 08, 2019",173.3,173.41,173.69,173.29,512.17K,-0.03%
"Jul 05, 2019",173.36,173.93,173.96,172.99,709.22K,-0.30%
"Jul 04, 2019",173.88,173.72,174.05,173.61,483.44K,0.12%
"Jul 03, 2019",173.67,173.61,173.89,173.53,653.58K,0.10%
"Jul 02, 2019",173.49,173.32,173.5,172.98,603.38K,0.15%
"Jul 01, 2019",173.23,172.58,173.33,172.47,622.88K,0.26%
"Jun 28, 2019",172.78,172.7,172.84,172.46,487.24K,0.05%
"Jun 27, 2019",172.69,172.39,172.77,171.93,700.99K,0.21%
"Jun 26, 2019",172.32,172.75,172.81,172.26,647.74K,-0.30%
